[I 240930 11:08:19 webSocket:62] on open
[I 240930 11:08:29 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6618591, 'exchange_timestamp': 1727674695000, 'last_traded_price': 5330830, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:29 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6618674, 'exchange_timestamp': 1727674696000, 'last_traded_price': 2594440, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:29 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6618890, 'exchange_timestamp': 1727674696000, 'last_traded_price': 5330605, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:29 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6619035, 'exchange_timestamp': 1727674696000, 'last_traded_price': 2594410, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:30 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6619321, 'exchange_timestamp': 1727674696000, 'last_traded_price': 5330620, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:30 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6619399, 'exchange_timestamp': 1727674697000, 'last_traded_price': 2594390, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:30 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6619618, 'exchange_timestamp': 1727674697000, 'last_traded_price': 5331080, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:30 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6619764, 'exchange_timestamp': 1727674697000, 'last_traded_price': 2594460, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:31 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6620070, 'exchange_timestamp': 1727674697000, 'last_traded_price': 5330610, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:31 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6620152, 'exchange_timestamp': 1727674698000, 'last_traded_price': 2594455, 'subscription_mode_val': 'LTP'}
