[I 241003 09:20:37 webSocket:62] WebSocket connection opened
[I 241003 09:24:12 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1288196, 'exchange_timestamp': 1727927639000, 'last_traded_price': 5245890, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:13 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1288632, 'exchange_timestamp': 1727927640000, 'last_traded_price': 5245865, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:13 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1289200, 'exchange_timestamp': 1727927640000, 'last_traded_price': 5245360, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:14 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1289624, 'exchange_timestamp': 1727927641000, 'last_traded_price': 5245615, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:14 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1290195, 'exchange_timestamp': 1727927641000, 'last_traded_price': 5244735, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:15 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1290634, 'exchange_timestamp': 1727927642000, 'last_traded_price': 5244410, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:15 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1291211, 'exchange_timestamp': 1727927642000, 'last_traded_price': 5244625, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:16 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1291627, 'exchange_timestamp': 1727927643000, 'last_traded_price': 5244775, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:16 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1292196, 'exchange_timestamp': 1727927643000, 'last_traded_price': 5244825, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:17 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1292609, 'exchange_timestamp': 1727927644000, 'last_traded_price': 5244395, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:17 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1293174, 'exchange_timestamp': 1727927644000, 'last_traded_price': 5244690, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:18 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1293595, 'exchange_timestamp': 1727927645000, 'last_traded_price': 5244580, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:18 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1294161, 'exchange_timestamp': 1727927645000, 'last_traded_price': 5244605, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:19 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1294580, 'exchange_timestamp': 1727927646000, 'last_traded_price': 5244920, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:19 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1295145, 'exchange_timestamp': 1727927646000, 'last_traded_price': 5244845, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:20 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1295628, 'exchange_timestamp': 1727927647000, 'last_traded_price': 5244675, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:20 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1296188, 'exchange_timestamp': 1727927647000, 'last_traded_price': 5244660, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:21 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1296624, 'exchange_timestamp': 1727927648000, 'last_traded_price': 5244810, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:21 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1297186, 'exchange_timestamp': 1727927648000, 'last_traded_price': 5244510, 'subscription_mode_val': 'LTP'}
